input;output
"{
  ""messageID"": 6,
  ""protocolOp"": {
    ""bindRequest"": {
      ""version"": 3,
      ""name"": ""sysadmin"",
      ""authentication"": {
        ""simple"": """"
      }
    }
  }
}";"{
  ""messageID"": 6,
  ""protocolOp"": {
    ""bindResponse"": {
      ""resultCode"": 34,
      ""matchedDN"": """",
      ""diagnosticMessage"": ""invalid DN""
    }
  }
}"
"{
  ""messageID"": 7,
  ""protocolOp"": {
    ""bindRequest"": {
      ""version"": 3,
      ""name"": ""netadmin"",
      ""authentication"": {
        ""simple"": """"
      }
    }
  }
}";"{
  ""messageID"": 7,
  ""protocolOp"": {
    ""bindResponse"": {
      ""resultCode"": 34,
      ""matchedDN"": """",
      ""diagnosticMessage"": ""invalid DN""
    }
  }
}"
"{
  ""messageID"": 8,
  ""protocolOp"": {
    ""bindRequest"": {
      ""version"": 3,
      ""name"": ""guest"",
      ""authentication"": {
        ""simple"": """"
      }
    }
  }
}";"{
  ""messageID"": 8,
  ""protocolOp"": {
    ""bindResponse"": {
      ""resultCode"": 34,
      ""matchedDN"": """",
      ""diagnosticMessage"": ""invalid DN""
    }
  }
}"
"{
  ""messageID"": 9,
  ""protocolOp"": {
    ""bindRequest"": {
      ""version"": 3,
      ""name"": ""user"",
      ""authentication"": {
        ""simple"": """"
      }
    }
  }
}";"{
  ""messageID"": 9,
  ""protocolOp"": {
    ""bindResponse"": {
      ""resultCode"": 34,
      ""matchedDN"": """",
      ""diagnosticMessage"": ""invalid DN""
    }
  }
}"
"{
  ""messageID"": 10,
  ""protocolOp"": {
    ""bindRequest"": {
      ""version"": 3,
      ""name"": ""web"",
      ""authentication"": {
        ""simple"": """"
      }
    }
  }
}";"{
  ""messageID"": 10,
  ""protocolOp"": {
    ""bindResponse"": {
      ""resultCode"": 34,
      ""matchedDN"": """",
      ""diagnosticMessage"": ""invalid DN""
    }
  }
}"
"{
  ""messageID"": 11,
  ""protocolOp"": {
    ""bindRequest"": {
      ""version"": 3,
      ""name"": ""test"",
      ""authentication"": {
        ""simple"": """"
      }
    }
  }
}";"{
  ""messageID"": 11,
  ""protocolOp"": {
    ""bindResponse"": {
      ""resultCode"": 34,
      ""matchedDN"": """",
      ""diagnosticMessage"": ""invalid DN""
    }
  }
}"
"{
  ""messageID"": 1,
  ""protocolOp"": {
    ""bindRequest"": {
      ""version"": 3,
      ""name"": ""cn=admin,dc=domain,dc=example,dc=org"",
      ""authentication"": {
        ""simple"": ""Secret123""
      }
    }
  }
}";"{
  ""messageID"": 1,
  ""protocolOp"": {
    ""bindResponse"": {
      ""resultCode"": 49,
      ""matchedDN"": """",
      ""diagnosticMessage"": """"
    }
  }
}"
"{
  ""messageID"": 1,
  ""protocolOp"": {
    ""bindRequest"": {
      ""version"": 3,
      ""name"": """",
      ""authentication"": {
        ""sasl"": {
          ""mechanism"": ""DIGEST-MD5""
        }
      }
    }
  }
}";"{
  ""messageID"": 1,
  ""protocolOp"": {
    ""bindResponse"": {
      ""resultCode"": 14,
      ""matchedDN"": """",
      ""diagnosticMessage"": ""SASL(0): successful result: "",
      ""serverSaslCreds"": ""nonce=\""FIoLbEgn4F6o6LbWN4shRX81HbfBt/cIfxBkKIIzm48=\"",realm=\""kali.kali\"",qop=\""auth,auth-int,auth-conf\"",cipher=\""rc4-40,rc4-56,rc4,des,3des\"",maxbuf=65536,charset=utf-8,algorithm=md5-sess""
    }
  }
}"
"{
  ""messageID"": 2,
  ""protocolOp"": {
    ""bindRequest"": {
      ""version"": 3,
      ""name"": """",
      ""authentication"": {
        ""sasl"": {
          ""mechanism"": ""DIGEST-MD5"",
          ""credentials"": ""username=\""user@example.org\"",realm=\""kali.kali\"",nonce=\""FIoLbEgn4F6o6LbWN4shRX81HbfBt/cIfxBkKIIzm48=\"",cnonce=\""mwlrmB0iVosrRbTj4gg15pMUwvhXEJ1ZZ+/SxfsDb6A=\"",nc=00000001,qop=auth-conf,cipher=rc4,maxbuf=16777215,digest-uri=\""ldap/kali.kali\"",response=52fc3d6259432fd4a6886040d1629629""
        }
      }
    }
  }
}";"{
  ""messageID"": 2,
  ""protocolOp"": {
    ""bindResponse"": {
      ""resultCode"": 49,
      ""matchedDN"": """",
      ""diagnosticMessage"": ""SASL(-13): user not found: no secret in database""
    }
  }
}"
"{
  ""messageID"": 7,
  ""protocolOp"": {
    ""bindRequest"": {
      ""version"": 3,
      ""name"": """",
      ""authentication"": {
        ""sasl"": {
          ""mechanism"": ""GSS-SPNEGO"",
          ""credentials"": ""6082051a06062b0601050502a082050e3082050aa024302206092a864882f71201020206092a864886f712010202060a2b06010401823702020aa28204e0048204dc608204d806092a864886f71201020201006e8204c7308204c3a003020105a10302010ea20703050020000000a38203e0618203dc308203d8a003020105a1151b1357324b332e564d4e4554312e564d2e42415345a22f302da003020102a12630241b046c6461701b1c77326b332d3130312e77326b332e766d6e6574312e766d2e62617365a382038730820383a003020117a103020107a2820375048203716a61c886ba58d162113db4268f7743a17eb476183bc0c519addea76556a3701de34903e6bd3f3fdca0b01bbccb9a8693b23fa8d1985e14922e4ca19b05a90769845a5858515bba4af2d7e59bfa8634285a2e954fb518378b8d3f2744b9bbf8842b4807879ff28e55bfba4967e8c1d3b6c4e358a561c54abbc1cb7c97b6503fe59b7fee6423dffe66fe6dcb8af00e69c53d6b576f5506990438310fb7dd1468a32fd8e0deab40b15ecfd438568370140a1edafee701a4a4b4e7b3aaefdc4b1aff5868aefe5a36294d5dd687d5a6493143d3ade8031c98d28f6c7f3dcea41435132f675f26940d1f69e573e5ece6ed5a66111ff9f4b02a8ddd19086e5b9dc0adc86a0bc1230f1b715ffc4004dfc4a7d5f78a4dc31abf830ae6e3bfd21c87fa5196549e130f6a081bafcf4170ae201c78a3829a01dba578a2ef968f2ab6668d8114dfcc65d7038f5558be7cdd9246d52247915260a40e59c48b08a1ed61427fd303917c6b34b701a4ba9a3815d4828a228cd209da137626e2029aabf6c200bf7fd63cf6d43bb618b31ac48e09613589d74a69542e909ce0dc9c57c77f7d89b966de200053a58ea58f2374513961638a30ca49ef0eec679d927e385b5da7d4d3c1a59169b4630b874a1d969e45d1fe3782089f4385024955093b308e1964d307915271aa886c3d9b64d846c88ca1341fd2f72b76679d4f258f647bc04820e42776c9ec0d01464652763a49d822c9d25b603903ebd6338952259b83a740a420d69d23aebbdf06a92d88a46ffcd8d81a47b6ec99b6cea0489cc83ef15757c4053d538446f2e6b9eba12ce4969b8d6df9b3ef574b7d401341c2f555a00f029164e5d387282c0c8791ba8c69816248e2e544a9c12b7aeba629fdeea2e111655e44b9c215924c5455eaa4ab32aea1d9cef1d86e8acf6b0ff4dcabaf4f0e2d9ae65c8bb1065e0418ff12d4626930315938bfe00a8d03e8e70e9dea9dc9ff74854cbb4dbdf700a62e77b26e50b13e2d3960c913360c84c87e801ed3df3db0e27604508cb730c5a052c068abe5826b01be9f62e33b9af8edb6667c57cb1aa879743b77a7432f75fe3ae211f96af41adef1e1c507256fe5fa2bccabe52cf8216d3410e6378506d427343458332d153a77a162c4c5f18d9f31b0c142880cad2229981720615ab26b7c13442e43178aadee436510c91bc9d5d735eb9453cf39cef5120e28603775f0483f01c3c48b5b060ca7f3a54d7c7c99a481c93081c6a003020117a281be0481bb03ab656760a3512fecc7032da8b2014659f0fb34eb76b461e4044da24d16d458e3e1c58919c74c4c0720aafb87a948152372a2483a4d1ae9b95b858a52abaa94e7aa641a8b997d7e6c6e570b5908cc549155f5e6f110c98d648978727abae3921da52a4c1fd76beb121bf3396be8f98e4acf1ebfc3b6fb7a1354c121873e59185db90030084d97864798d79eb9df30756ca1faa7a80880f74f7d93642d9ceb5e0128ced6ab096a4f015e5a032b4270231e7ff1bcd087e8b527027d""
        }
      }
    }
  }
}";"{
  ""messageID"": 7,
  ""protocolOp"": {
    ""bindResponse"": {
      ""resultCode"": 0,
      ""matchedDN"": """",
      ""diagnosticMessage"": """",
      ""serverSaslCreds"": ""a181a130819ea0030a0100a10b06092a864882f712010202a2818904818660818306092a864886f71201020202006f743072a003020105a10302010fa2663064a003020117a25d045b2754d8f79de369ce095485cbfb3527f5cd732f730822720b1d829c7a969c8122828a3a77d47f0b9cc0559f587cd18369e738c0ea57e738b3cd586aa4f8d7cc5d948f5b8e2bbf4cba31fd1acf504c77f6101b72a00dabb985c7fc4e""
    }
  }
}"
"{
  ""messageID"": 1,
  ""protocolOp"": {
    ""bindRequest"": {
      ""version"": 3,
      ""name"": """",
      ""authentication"": {
        ""simple"": """"
      }
    }
  }
}";"{
  ""messageID"": 1,
  ""protocolOp"": {
    ""bindResponse"": {
      ""resultCode"": 0,
      ""matchedDN"": """",
      ""diagnosticMessage"": """"
    }
  }
}"
"{
  ""messageID"": 2,
  ""protocolOp"": {
    ""searchRequest"": {
      ""baseObject"": """",
      ""scope"": 2,
      ""derefAliases"": 0,
      ""sizeLimit"": 0,
      ""timeLimit"": 0,
      ""typesOnly"": false,
      ""filter"": {
        ""extensibleMatch"": {
          ""matchingRule"": ""2.16.840.1.113730.3.3.2.46.1"",
          ""type"": ""departmentNumber"",
          ""matchValue"": "">=N4709"",
          ""dnAttributes"": true
        }
      },
      ""attributes"": [
        ""cn"",
        ""sn"",
        ""telephoneNumber""
      ]
    }
  }
}";"{
  ""messageID"": 2,
  ""protocolOp"": {
    ""searchResDone"": {
      ""resultCode"": 32,
      ""matchedDN"": """",
      ""diagnosticMessage"": """"
    }
  }
}"
"{
  ""messageID"": 1,
  ""protocolOp"": {
    ""bindRequest"": {
      ""version"": 3,
      ""name"": """",
      ""authentication"": {
        ""simple"": """"
      }
    }
  }
}";"{
  ""messageID"": 1,
  ""protocolOp"": {
    ""bindResponse"": {
      ""resultCode"": 0,
      ""matchedDN"": """",
      ""diagnosticMessage"": """"
    }
  }
}"
"{
  ""messageID"": 2,
  ""protocolOp"": {
    ""searchRequest"": {
      ""baseObject"": """",
      ""scope"": 2,
      ""derefAliases"": 0,
      ""sizeLimit"": 0,
      ""timeLimit"": 0,
      ""typesOnly"": false,
      ""filter"": {
        ""extensibleMatch"": {
          ""matchingRule"": ""2.16.840.1.113730.3.3.2.46.1"",
          ""type"": ""departmentNumber"",
          ""matchValue"": "">=N4709"",
          ""dnAttributes"": false
        }
      },
      ""attributes"": []
    }
  }
}";"{
  ""messageID"": 2,
  ""protocolOp"": {
    ""searchResDone"": {
      ""resultCode"": 32,
      ""matchedDN"": """",
      ""diagnosticMessage"": """"
    }
  }
}"
"{
  ""messageID"": 1,
  ""protocolOp"": {
    ""bindRequest"": {
      ""version"": 3,
      ""name"": """",
      ""authentication"": {
        ""simple"": """"
      }
    }
  }
}";"{
  ""messageID"": 1,
  ""protocolOp"": {
    ""bindResponse"": {
      ""resultCode"": 0,
      ""matchedDN"": """",
      ""diagnosticMessage"": """"
    }
  }
}"
"{
  ""messageID"": 2,
  ""protocolOp"": {
    ""searchRequest"": {
      ""baseObject"": """",
      ""scope"": 0,
      ""derefAliases"": 3,
      ""sizeLimit"": 0,
      ""timeLimit"": 0,
      ""typesOnly"": false,
      ""filter"": {
        ""present"": ""objectClass""
      },
      ""attributes"": [
        ""subschemaSubentry""
      ]
    }
  }
}";"{
  ""messageID"": 2,
  ""protocolOp"": {
    ""searchResEntry"": {
      ""objectName"": """",
      ""attributes"": [
        {
          ""type"": ""subschemaSubentry"",
          ""vals"": [
            ""cn=Subschema""
          ]
        }
      ]
    }
  }
}
{
  ""messageID"": 2,
  ""protocolOp"": {
    ""searchResDone"": {
      ""resultCode"": 0,
      ""matchedDN"": """",
      ""diagnosticMessage"": """"
    }
  }
}"
"{
  ""messageID"": 3,
  ""protocolOp"": {
    ""searchRequest"": {
      ""baseObject"": ""cn=Subschema"",
      ""scope"": 0,
      ""derefAliases"": 3,
      ""sizeLimit"": 0,
      ""timeLimit"": 0,
      ""typesOnly"": false,
      ""filter"": {
        ""equalityMatch"": {
          ""attributeDesc"": ""objectClass"",
          ""assertionValue"": ""subschema""
        }
      },
      ""attributes"": [
        ""createTimestamp"",
        ""modifyTimestamp""
      ]
    }
  }
}";"{
  ""messageID"": 3,
  ""protocolOp"": {
    ""searchResEntry"": {
      ""objectName"": ""cn=Subschema"",
      ""attributes"": [
        {
          ""type"": ""createTimestamp"",
          ""vals"": [
            ""20250801154953Z""
          ]
        },
        {
          ""type"": ""modifyTimestamp"",
          ""vals"": [
            ""20250801154953Z""
          ]
        }
      ]
    }
  }
}
{
  ""messageID"": 3,
  ""protocolOp"": {
    ""searchResDone"": {
      ""resultCode"": 0,
      ""matchedDN"": """",
      ""diagnosticMessage"": """"
    }
  }
}"
"{
  ""messageID"": 4,
  ""protocolOp"": {
    ""searchRequest"": {
      ""baseObject"": """",
      ""scope"": 0,
      ""derefAliases"": 0,
      ""sizeLimit"": 0,
      ""timeLimit"": 0,
      ""typesOnly"": false,
      ""filter"": {
        ""present"": ""objectClass""
      },
      ""attributes"": [
        ""namingContexts"",
        ""subschemaSubentry"",
        ""supportedLDAPVersion"",
        ""supportedSASLMechanisms"",
        ""supportedExtension"",
        ""supportedControl"",
        ""supportedFeatures"",
        ""vendorName"",
        ""vendorVersion"",
        ""+"",
        ""objectClass""
      ]
    }
  }
}";"{
  ""messageID"": 4,
  ""protocolOp"": {
    ""searchResEntry"": {
      ""objectName"": """",
      ""attributes"": [
        {
          ""type"": ""objectClass"",
          ""vals"": [
            ""top"",
            ""OpenLDAProotDSE""
          ]
        },
        {
          ""type"": ""structuralObjectClass"",
          ""vals"": [
            ""OpenLDAProotDSE""
          ]
        },
        {
          ""type"": ""configContext"",
          ""vals"": [
            ""cn=config""
          ]
        },
        {
          ""type"": ""namingContexts"",
          ""vals"": [
            ""dc=domain,dc=example,dc=org""
          ]
        },
        {
          ""type"": ""supportedControl"",
          ""vals"": [
            ""2.16.840.1.113730.3.4.18"",
            ""2.16.840.1.113730.3.4.2"",
            ""1.3.6.1.4.1.4203.1.10.1"",
            ""1.3.6.1.1.22"",
            ""1.2.840.113556.1.4.319"",
            ""1.2.826.0.1.3344810.2.3"",
            ""1.3.6.1.1.13.2"",
            ""1.3.6.1.1.13.1"",
            ""1.3.6.1.1.12""
          ]
        },
        {
          ""type"": ""supportedExtension"",
          ""vals"": [
            ""1.3.6.1.4.1.4203.1.11.1"",
            ""1.3.6.1.4.1.4203.1.11.3"",
            ""1.3.6.1.1.8"",
            ""1.3.6.1.1.21.3"",
            ""1.3.6.1.1.21.1""
          ]
        },
        {
          ""type"": ""supportedFeatures"",
          ""vals"": [
            ""1.3.6.1.1.14"",
            ""1.3.6.1.4.1.4203.1.5.1"",
            ""1.3.6.1.4.1.4203.1.5.2"",
            ""1.3.6.1.4.1.4203.1.5.3"",
            ""1.3.6.1.4.1.4203.1.5.4"",
            ""1.3.6.1.4.1.4203.1.5.5""
          ]
        },
        {
          ""type"": ""supportedLDAPVersion"",
          ""vals"": [
            ""3""
          ]
        },
        {
          ""type"": ""supportedSASLMechanisms"",
          ""vals"": [
            ""SCRAM-SHA-512"",
            ""SCRAM-SHA-384"",
            ""SCRAM-SHA-256"",
            ""SCRAM-SHA-224"",
            ""SCRAM-SHA-1"",
            ""DIGEST-MD5"",
            ""NTLM"",
            ""CRAM-MD5""
          ]
        },
        {
          ""type"": ""entryDN"",
          ""vals"": [
            """"
          ]
        },
        {
          ""type"": ""subschemaSubentry"",
          ""vals"": [
            ""cn=Subschema""
          ]
        }
      ]
    }
  }
}
{
  ""messageID"": 4,
  ""protocolOp"": {
    ""searchResDone"": {
      ""resultCode"": 0,
      ""matchedDN"": """",
      ""diagnosticMessage"": """"
    }
  }
}"
"{
  ""messageID"": 5,
  ""protocolOp"": {
    ""searchRequest"": {
      ""baseObject"": """",
      ""scope"": 0,
      ""derefAliases"": 0,
      ""sizeLimit"": 0,
      ""timeLimit"": 0,
      ""typesOnly"": false,
      ""filter"": {
        ""present"": ""objectClass""
      },
      ""attributes"": [
        ""*""
      ]
    }
  }
}";"{
  ""messageID"": 5,
  ""protocolOp"": {
    ""searchResEntry"": {
      ""objectName"": """",
      ""attributes"": [
        {
          ""type"": ""objectClass"",
          ""vals"": [
            ""top"",
            ""OpenLDAProotDSE""
          ]
        }
      ]
    }
  }
}
{
  ""messageID"": 5,
  ""protocolOp"": {
    ""searchResDone"": {
      ""resultCode"": 0,
      ""matchedDN"": """",
      ""diagnosticMessage"": """"
    }
  }
}"
"{
  ""messageID"": 6,
  ""protocolOp"": {
    ""searchRequest"": {
      ""baseObject"": ""dc=domain,dc=example,dc=org"",
      ""scope"": 0,
      ""derefAliases"": 3,
      ""sizeLimit"": 1,
      ""timeLimit"": 0,
      ""typesOnly"": false,
      ""filter"": {
        ""present"": ""objectClass""
      },
      ""attributes"": [
        ""hasSubordinates"",
        ""objectClass""
      ]
    }
  }
}";"{
  ""messageID"": 6,
  ""protocolOp"": {
    ""searchResEntry"": {
      ""objectName"": ""dc=domain,dc=example,dc=org"",
      ""attributes"": [
        {
          ""type"": ""objectClass"",
          ""vals"": [
            ""top"",
            ""dcObject"",
            ""organization""
          ]
        },
        {
          ""type"": ""hasSubordinates"",
          ""vals"": [
            ""TRUE""
          ]
        }
      ]
    }
  }
}
{
  ""messageID"": 6,
  ""protocolOp"": {
    ""searchResDone"": {
      ""resultCode"": 0,
      ""matchedDN"": """",
      ""diagnosticMessage"": """"
    }
  }
}"
"{
  ""messageID"": 7,
  ""protocolOp"": {
    ""searchRequest"": {
      ""baseObject"": ""cn=Subschema"",
      ""scope"": 0,
      ""derefAliases"": 3,
      ""sizeLimit"": 1,
      ""timeLimit"": 0,
      ""typesOnly"": false,
      ""filter"": {
        ""present"": ""objectClass""
      },
      ""attributes"": [
        ""hasSubordinates"",
        ""objectClass""
      ]
    }
  }
}";"{
  ""messageID"": 7,
  ""protocolOp"": {
    ""searchResEntry"": {
      ""objectName"": ""cn=Subschema"",
      ""attributes"": [
        {
          ""type"": ""objectClass"",
          ""vals"": [
            ""top"",
            ""subentry"",
            ""subschema"",
            ""extensibleObject""
          ]
        }
      ]
    }
  }
}
{
  ""messageID"": 7,
  ""protocolOp"": {
    ""searchResDone"": {
      ""resultCode"": 0,
      ""matchedDN"": """",
      ""diagnosticMessage"": """"
    }
  }
}"
"{
  ""messageID"": 8,
  ""protocolOp"": {
    ""searchRequest"": {
      ""baseObject"": ""cn=config"",
      ""scope"": 0,
      ""derefAliases"": 3,
      ""sizeLimit"": 1,
      ""timeLimit"": 0,
      ""typesOnly"": false,
      ""filter"": {
        ""present"": ""objectClass""
      },
      ""attributes"": [
        ""hasSubordinates"",
        ""objectClass""
      ]
    }
  }
}";"{
  ""messageID"": 8,
  ""protocolOp"": {
    ""searchResDone"": {
      ""resultCode"": 32,
      ""matchedDN"": """",
      ""diagnosticMessage"": """"
    }
  }
}"
"{
  ""messageID"": 9,
  ""protocolOp"": {
    ""searchRequest"": {
      ""baseObject"": ""dc=domain,dc=example,dc=org"",
      ""scope"": 2,
      ""derefAliases"": 3,
      ""sizeLimit"": 1000,
      ""timeLimit"": 0,
      ""typesOnly"": false,
      ""filter"": {
        ""present"": ""objectClass""
      },
      ""attributes"": [
        ""objectClass""
      ]
    }
  }
}";"{
  ""messageID"": 9,
  ""protocolOp"": {
    ""searchResEntry"": {
      ""objectName"": ""dc=domain,dc=example,dc=org"",
      ""attributes"": [
        {
          ""type"": ""objectClass"",
          ""vals"": [
            ""top"",
            ""dcObject"",
            ""organization""
          ]
        }
      ]
    }
  }
}
{
  ""messageID"": 9,
  ""protocolOp"": {
    ""searchResEntry"": {
      ""objectName"": ""ou=Career Services,dc=domain,dc=example,dc=org"",
      ""attributes"": [
        {
          ""type"": ""objectClass"",
          ""vals"": [
            ""top"",
            ""organizationalUnit""
          ]
        }
      ]
    }
  }
}
{
  ""messageID"": 9,
  ""protocolOp"": {
    ""searchResEntry"": {
      ""objectName"": ""ou=Athletics,ou=Career Services,dc=domain,dc=example,dc=org"",
      ""attributes"": [
        {
          ""type"": ""objectClass"",
          ""vals"": [
            ""top"",
            ""organizationalUnit""
          ]
        }
      ]
    }
  }
}
{
  ""messageID"": 9,
  ""protocolOp"": {
    ""searchResEntry"": {
      ""objectName"": ""ou=Finance,ou=Athletics,ou=Career Services,dc=domain,dc=example,dc=org"",
      ""attributes"": [
        {
          ""type"": ""objectClass"",
          ""vals"": [
            ""top"",
            ""organizationalUnit""
          ]
        }
      ]
    }
  }
}
{
  ""messageID"": 9,
  ""protocolOp"": {
    ""searchResEntry"": {
      ""objectName"": ""ou=Academic Affairs,dc=domain,dc=example,dc=org"",
      ""attributes"": [
        {
          ""type"": ""objectClass"",
          ""vals"": [
            ""top"",
            ""organizationalUnit""
          ]
        }
      ]
    }
  }
}
{
  ""messageID"": 9,
  ""protocolOp"": {
    ""searchResEntry"": {
      ""objectName"": ""ou=Chemical Engineering,ou=Academic Affairs,dc=domain,dc=example,dc=org"",
      ""attributes"": [
        {
          ""type"": ""objectClass"",
          ""vals"": [
            ""top"",
            ""organizationalUnit""
          ]
        }
      ]
    }
  }
}
{
  ""messageID"": 9,
  ""protocolOp"": {
    ""searchResEntry"": {
      ""objectName"": ""ou=Accounting Services,ou=Chemical Engineering,ou=Academic Affairs,dc=domain,dc=example,dc=org"",
      ""attributes"": [
        {
          ""type"": ""objectClass"",
          ""vals"": [
            ""top"",
            ""organizationalUnit""
          ]
        }
      ]
    }
  }
}
{
  ""messageID"": 9,
  ""protocolOp"": {
    ""searchResEntry"": {
      ""objectName"": ""ou=History,dc=domain,dc=example,dc=org"",
      ""attributes"": [
        {
          ""type"": ""objectClass"",
          ""vals"": [
            ""top"",
            ""organizationalUnit""
          ]
        }
      ]
    }
  }
}
{
  ""messageID"": 9,
  ""protocolOp"": {
    ""searchResEntry"": {
      ""objectName"": ""ou=Purchase,ou=History,dc=domain,dc=example,dc=org"",
      ""attributes"": [
        {
          ""type"": ""objectClass"",
          ""vals"": [
            ""top"",
            ""organizationalUnit""
          ]
        }
      ]
    }
  }
}
{
  ""messageID"": 9,
  ""protocolOp"": {
    ""searchResEntry"": {
      ""objectName"": ""ou=Information Technology,ou=Purchase,ou=History,dc=domain,dc=example,dc=org"",
      ""attributes"": [
        {
          ""type"": ""objectClass"",
          ""vals"": [
            ""top"",
            ""organizationalUnit""
          ]
        }
      ]
    }
  }
}
{
  ""messageID"": 9,
  ""protocolOp"": {
    ""searchResEntry"": {
      ""objectName"": ""ou=Marketing,dc=domain,dc=example,dc=org"",
      ""attributes"": [
        {
          ""type"": ""objectClass"",
          ""vals"": [
            ""top"",
            ""organizationalUnit""
          ]
        }
      ]
    }
  }
}"
